Anno;Codice Regione;Descrizione Regione;Codice Azienda;Tipo Azienda;Codice struttura;Subcodice;Denominazione Struttura/Stabilimento;Indirizzo;Codice Comune;Comune;Sigla Provincia;Codice tipo struttura;Descrizione tipo struttura;Codice disciplina;Descrizione disciplina;Tipo di Disciplina;N° Reparti;Posti letto degenza ordinaria;Posti letto degenza a pagamento;Posti letto Day Hospital;Posti letto Day Surgery;Totale posti letto
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;5;0;5
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;8;CARDIOLOGIA                             ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;20;0;0;0;20
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;2;52;0;0;0;52
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;29;NEFROLOGIA                              ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;32;NEUROLOGIA                              ;ACUTI;1;15;0;0;0;15
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;24;0;0;0;24
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;18;0;0;0;18
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;38;OTORINOLARINGOIATRIA                    ;ACUTI;1;2;0;0;0;2
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;39;PEDIATRIA                               ;ACUTI;1;4;0;1;0;5
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;40;PSICHIATRIA                             ;ACUTI;1;10;0;0;0;10
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;49;TERAPIA INTENSIVA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;50;UNITA` CORONARICA                       ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;56;RECUPERO E RIABILITAZIONE               ;RIABILITAZIONE;1;17;0;0;0;17
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;62;NEONATOLOGIA                            ;ACUTI;1;4;0;0;0;4
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;67;PENSIONANTI                             ;ACUTI;1;2;0;0;1;3
2018;10;PIEMONTE;203;1;10030;1;"OSPEDALE CIVILE ""E.AGNELLI""             ";VIA BRIGATA CAGLIARI 39                 ;1191;PINEROLO                                ;TO;1;Ospedale a gestione diretta;98;DAY SURGERY;ACUTI;1;0;0;0;12;12
2018;10;PIEMONTE;203;1;10030;3;OSPEDALE DI POMARETTO                   ;VIA RIBET MAGGIORE 2                    ;1198;POMARETTO                               ;TO;1;Ospedale a gestione diretta;60;LUNGODEGENTI                            ;LUNGODEGENZA;1;18;0;0;0;18
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;2;DAY HOSPITAL                            ;ACUTI;1;0;0;4;0;4
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;8;CARDIOLOGIA                             ;ACUTI;1;14;0;0;0;14
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;9;CHIRURGIA GENERALE                      ;ACUTI;1;25;0;0;0;25
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;26;MEDICINA GENERALE                       ;ACUTI;2;59;0;0;0;59
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;29;NEFROLOGIA                              ;ACUTI;1;6;0;0;0;6
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;32;NEUROLOGIA                              ;ACUTI;1;15;0;0;0;15
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;36;ORTOPEDIA E TRAUMATOLOGIA               ;ACUTI;1;22;0;0;0;22
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;37;OSTETRICIA E GINECOLOGIA                ;ACUTI;1;24;0;0;0;24
2018;10;PIEMONTE;203;1;10079;1;OSPEDALE DEGLI INFERMI                  ;VIA RIVALTA 29                          ;1219;RIVOLI                                  ;TO;1;Ospedale a gestione diretta;39;PEDIATRIA                               ;ACUTI;1;6;0;2;0;8
